gamepk,inning,half,battingteamid,runs,hits,errors,leftonbase,cummulative_score,batting_team_score,batting_team_scores,score_difference
778867,3,1,119,0.0,1,0,1,5.0,5,5.0,0.0
778867,4,0,118,0.0,1,0,1,5.0,5,5.0,0.0
778867,4,1,119,4.0,3,0,0,9.0,5,5.0,0.0
778867,5,0,118,0.0,0,0,3,5.0,5,5.0,-4.0
778867,5,1,119,0.0,0,0,1,9.0,9,9.0,4.0
778867,6,0,118,3.0,4,0,1,8.0,5,5.0,-4.0
778867,6,1,119,1.0,2,0,2,10.0,9,9.0,1.0
778867,7,0,118,0.0,1,0,2,8.0,8,8.0,-2.0
778867,7,1,119,0.0,0,0,0,10.0,10,10.0,2.0
778867,8,0,118,1.0,0,0,1,9.0,8,8.0,-2.0
778867,8,1,119,0.0,1,1,1,10.0,10,10.0,1.0
778867,9,0,118,2.0,3,0,1,11.0,9,9.0,-1.0
778867,9,1,119,0.0,0,0,1,10.0,10,10.0,-1.0
778944,1,0,137,0.0,1,0,1,0.0,0,0.0,0.0
778944,1,1,140,0.0,0,0,0,0.0,0,0.0,0.0
778944,2,0,137,2.0,3,0,1,2.0,0,0.0,0.0
778944,2,1,140,0.0,0,0,1,0.0,0,0.0,-2.0
778944,3,0,137,0.0,0,0,0,2.0,2,2.0,2.0
778944,3,1,140,0.0,1,0,1,0.0,0,0.0,-2.0
778944,4,0,137,0.0,2,0,2,2.0,2,2.0,2.0
778944,4,1,140,0.0,0,0,0,0.0,0,0.0,-2.0
778944,5,0,137,1.0,1,0,1,3.0,2,2.0,2.0
778944,5,1,140,0.0,1,0,1,0.0,0,0.0,-3.0
778944,6,0,137,0.0,1,0,1,3.0,3,3.0,3.0
778944,6,1,140,0.0,0,0,0,0.0,0,0.0,-3.0
778944,7,0,137,0.0,0,0,0,3.0,3,3.0,3.0
778944,7,1,140,1.0,1,0,0,1.0,0,0.0,-3.0
778944,8,0,137,0.0,0,0,1,3.0,3,3.0,2.0
778944,8,1,140,0.0,0,0,0,1.0,1,1.0,-2.0
778944,9,0,137,3.0,3,0,0,6.0,3,3.0,2.0
778944,9,1,140,0.0,1,0,1,1.0,1,1.0,-5.0
778757,1,0,145,0.0,2,0,2,0.0,0,0.0,0.0
778757,1,1,112,0.0,0,0,0,0.0,0,0.0,0.0
778757,2,0,145,0.0,0,1,0,0.0,0,0.0,0.0
778757,2,1,112,5.0,5,0,1,5.0,0,0.0,0.0
778757,3,0,145,0.0,1,0,2,0.0,0,0.0,-5.0
778757,3,1,112,0.0,0,0,1,5.0,5,5.0,5.0
778757,4,0,145,2.0,2,0,1,2.0,0,0.0,-5.0
778757,4,1,112,2.0,3,1,1,7.0,5,5.0,3.0
778757,5,0,145,0.0,0,0,0,2.0,2,2.0,-5.0
778757,5,1,112,0.0,0,0,1,7.0,7,7.0,5.0
778757,6,0,145,1.0,1,0,0,3.0,2,2.0,-5.0
778757,6,1,112,0.0,0,0,0,7.0,7,7.0,4.0
778757,7,0,145,0.0,1,0,2,3.0,3,3.0,-4.0
778757,7,1,112,0.0,0,0,0,7.0,7,7.0,4.0
778757,8,0,145,0.0,1,0,2,3.0,3,3.0,-4.0
778757,8,1,112,0.0,1,0,2,7.0,7,7.0,4.0
778757,9,0,145,0.0,0,0,0,3.0,3,3.0,-4.0
778757,9,1,112,,0,0,0,,7,7.0,4.0
778808,1,0,109,0.0,0,0,0,0.0,0,0.0,0.0
778808,1,1,115,0.0,0,0,0,0.0,0,0.0,0.0
778808,2,0,109,0.0,0,1,1,0.0,0,0.0,0.0
778808,2,1,115,1.0,1,0,1,1.0,0,0.0,0.0
778808,3,0,109,0.0,0,0,1,0.0,0,0.0,-1.0
778808,3,1,115,0.0,0,0,2,1.0,1,1.0,1.0
778808,4,0,109,0.0,0,0,0,0.0,0,0.0,-1.0
778808,4,1,115,2.0,1,0,0,3.0,1,1.0,1.0
778808,5,0,109,3.0,1,0,0,3.0,0,0.0,-3.0
778808,5,1,115,3.0,2,1,0,6.0,3,3.0,0.0
778808,6,0,109,0.0,1,0,1,3.0,3,3.0,-3.0
778808,6,1,115,2.0,3,0,1,8.0,6,6.0,3.0
778808,7,0,109,0.0,0,0,0,3.0,3,3.0,-5.0
778808,7,1,115,1.0,1,0,2,9.0,8,8.0,5.0
778808,8,0,109,0.0,0,0,0,3.0,3,3.0,-6.0
778808,8,1,115,0.0,0,0,0,9.0,9,9.0,6.0
778808,9,0,109,0.0,1,0,0,3.0,3,3.0,-6.0
778808,9,1,115,,0,0,0,,9,9.0,6.0
779026,1,0,133,1.0,2,1,1,1.0,0,0.0,0.0
779026,1,1,135,0.0,1,0,1,0.0,0,0.0,-1.0
779026,2,0,133,0.0,0,0,0,1.0,1,1.0,1.0
779026,2,1,135,5.0,6,0,2,5.0,0,0.0,-1.0
779026,3,0,133,0.0,1,0,1,1.0,1,1.0,-4.0
779026,3,1,135,0.0,0,0,0,5.0,5,5.0,4.0
779026,4,0,133,0.0,0,0,0,1.0,1,1.0,-4.0
779026,4,1,135,0.0,0,0,0,5.0,5,5.0,4.0
779026,5,0,133,0.0,0,0,0,1.0,1,1.0,-4.0
779026,5,1,135,4.0,4,0,1,9.0,5,5.0,4.0
779026,6,0,133,1.0,1,0,0,2.0,1,1.0,-8.0
779026,6,1,135,0.0,0,0,3,9.0,9,9.0,7.0
779026,7,0,133,1.0,1,0,3,3.0,2,2.0,-7.0
779026,7,1,135,0.0,0,0,2,9.0,9,9.0,6.0
779026,8,0,133,0.0,1,0,2,3.0,3,3.0,-6.0
779026,8,1,135,1.0,2,0,2,10.0,9,9.0,6.0
779026,9,0,133,0.0,0,0,1,3.0,3,3.0,-7.0
779026,9,1,135,,0,1,0,,10,10.0,7.0
779162,1,0,136,0.0,0,2,0,0.0,0,0.0,0.0
779162,1,1,108,4.0,5,0,0,4.0,0,0.0,0.0
779162,2,0,136,2.0,2,0,2,2.0,0,0.0,-4.0
779162,2,1,108,0.0,0,1,0,4.0,4,4.0,2.0
779162,3,0,136,0.0,0,0,0,2.0,2,2.0,-2.0
779162,3,1,108,0.0,1,0,2,4.0,4,4.0,2.0
779162,4,0,136,0.0,1,0,1,2.0,2,2.0,-2.0
779162,4,1,108,0.0,0,0,0,4.0,4,4.0,2.0
779162,5,0,136,3.0,2,0,1,5.0,2,2.0,-2.0
779162,5,1,108,0.0,0,1,1,4.0,4,4.0,-1.0
779162,6,0,136,0.0,0,1,0,5.0,5,5.0,1.0
779162,6,1,108,2.0,3,0,1,6.0,4,4.0,-1.0
779162,7,0,136,3.0,3,0,1,8.0,5,5.0,-1.0
779162,7,1,108,3.0,2,0,1,9.0,6,6.0,-2.0
779162,8,0,136,0.0,1,0,1,8.0,8,8.0,-1.0
779162,8,1,108,0.0,0,0,2,9.0,9,9.0,1.0
779162,9,0,136,2.0,2,1,1,10.0,8,8.0,-1.0
779162,9,1,108,2.0,3,0,1,11.0,9,9.0,-1.0
779103,1,0,113,0.0,2,0,2,0.0,0,0.0,0.0
779103,1,1,158,0.0,0,0,0,0.0,0,0.0,0.0
779103,2,0,113,3.0,2,0,1,3.0,0,0.0,0.0
779103,2,1,158,0.0,1,1,1,0.0,0,0.0,-3.0
779103,3,0,113,1.0,1,0,0,4.0,3,3.0,3.0
779103,3,1,158,0.0,0,0,1,0.0,0,0.0,-4.0
779103,4,0,113,1.0,1,0,1,5.0,4,4.0,4.0
779103,4,1,158,0.0,0,0,0,0.0,0,0.0,-5.0
779103,5,0,113,0.0,0,0,0,5.0,5,5.0,5.0
779103,5,1,158,0.0,1,0,1,0.0,0,0.0,-5.0
779103,6,0,113,0.0,0,0,1,5.0,5,5.0,5.0
779103,6,1,158,3.0,2,0,0,3.0,0,0.0,-5.0
779103,7,0,113,0.0,0,0,0,5.0,5,5.0,2.0
779103,7,1,158,2.0,2,0,1,5.0,3,3.0,-2.0
779103,8,0,113,2.0,2,0,2,7.0,5,5.0,0.0
779103,8,1,158,0.0,1,0,2,5.0,5,5.0,-2.0
779103,9,0,113,0.0,0,0,0,7.0,7,7.0,2.0
779103,9,1,158,3.0,3,0,0,8.0,5,5.0,-2.0
778742,1,0,121,0.0,1,1,1,0.0,0,0.0,0.0
778742,1,1,120,5.0,3,0,2,5.0,0,0.0,0.0
